tweetid,tweetdate,tweettext
1256492887069519873,2020-05-02 07:57:03,SAKTHIFIN
1256492636094881792,2020-05-02 07:56:03,SHAWGELTIN
1256492131939573766,2020-05-02 07:54:03,BETXIND
1256491886899949568,2020-05-02 07:53:04,SHAWGELTIN
1256491883565481984,2020-05-02 07:53:04,BLOIN
1256491880205828096,2020-05-02 07:53:03,MANGLMCEM
1256491630716006401,2020-05-02 07:52:03,TFLL
1256491125759635458,2020-05-02 07:50:03,GENSOL
1256490874394906624,2020-05-02 07:49:03,MULTIIN
1256490621633654785,2020-05-02 07:48:03,ROOPSHRI
