,tweetid,tweetdate,tweettext
0,1256211784882507777,2020-05-01 13:20:03,UTTAMSTL 
1,1256209016310513664,2020-05-01 13:09:03,GDL 
2,1256208516219465731,2020-05-01 13:07:04,GDL 
3,1256207506512076800,2020-05-01 13:03:03,BAJAJHIND 
4,1256207267575115778,2020-05-01 13:02:06,TCIEXP 
5,1256207264265863174,2020-05-01 13:02:05,BCP 
6,1256207260889477123,2020-05-01 13:02:04,PRAKASHSTL 
7,1256207256963575808,2020-05-01 13:02:03,DRREDDY 
8,1256205241575329794,2020-05-01 12:54:03,GBLIL 
9,1256204235462438913,2020-05-01 12:50:03,SACHEMT 
